NAME,TEL,URL,ADDRESS1,ADDRES2,CITY,ZIP
Cherry Lane Theatre,(212) 989-2020¿,http://cherrylanetheatre.org/,38 Commerce Street,,New York,10014
Circle In the Square Theatre,(212) 307-0388,http://www.circlesquare.org/,1633 Broadway,,New York,10019
Connelly Theater,(212) 982-2287,http://www.connellycenter.org/theatre.htm,220 E 4th St,,New York,10009
Cort Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/cort.asp,138 W 48th St,,New York,10036
Daryl Roth Theatre,(212) 375-1110,http://www.darylroththeatre.com/,101 E 15th St,,New York,10003
Duke Theatre,(646) 223-3010,http://www.new42.org/duke/duke_home.aspx,229 W. 42nd St,,New York,10036
Ed Sullivan Theater,(212) 975-4321,http://www.newyorkcitytheatre.com/theaters/edsullivantheater/theater.php,1697 Broadway,,New York,10019
Ethel Barrymore Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/ethel_barrymore.asp,243 West 47th Street,,New York,10036
Eugene O'Neill Theater,(888) VISIT-NY,http://www.ibdb.com/venue.php?id=1158,230 W 49th St,,New York,10019
Gene Frankel Theatre Workshop,(212) 777-1767,http://www.genefrankel.com/presentation_content.html,24 Bond St,,New York,10012
Gerald Schoenfeld Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/gerald_schoenfeld.asp,236 W 45th Street,,New York,10036
Gershwin Theatre,(212) 586-6510,http://www.gershwintheatre.com/,222 W 51st St,,New York,10019
Gramercy Arts Theatre,(212) 889-2850,http://www.theatermania.com/new-york/theaters/gramercy-arts-theatre_657/,138 E 27th St,,New York,10016
Greenwich Street Theater,(888) VISIT-NY,http://www.theatermania.com/new-york/theaters/greenwich-street-theatre_196/,547 Greenwich St,,New York,10013
Harold Clurman Theater,(888) VISIT-NY,http://www.theatermania.com/new-york/theaters/harold-clurman-theater_695/,412 W 42nd St,,New York,10036
Helen Hayes Theater,(212) 944-9450,http://www.nytheatre.com/nytheatre/hayes.htm,240 W 44th St,,New York,10036
Henry Miller Theatre,(212) 719-1300,http://www.roundabouttheatre.org/hmt/,124 W 43rd St,,New York,10036
Here Theater,(212) 352-3101,http://www.here.org,145 6th Avenue,,New York,10013
Hilton Theatre,(212) 556-4750,http://www.hiltontheatre.com/home.php?size=1280,214 W 43rd Street,,New York,10036
Imperial Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/imperial.asp,249 W 45th St,,New York,10036
Jane Street Theatre,(212) 924-8404,http://www.nyc.com/arts__attractions/jane_street_theatre.98884/editorial_review.aspx,113 Jane St,,New York,10014
John Golden Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/john_golden.asp,252 W 45th St,,New York,10036
Julia Miles Theater,(212) 757-3900,http://www.womensproject.org/julia_miles_theater.htm,424 W 55th St,,New York,10019
Kraine Theater,(888) VISIT-NY,http://www.httheater.org/rentersKRAINE.html,85 E 4th Street,,New York,10003
La Mama Experimental Theatre,(212) 475-7710,http://www.lamama.org/,74A East 4th St,,New York,10003
Lamb's Theatre,(212) 302-7847,http://www.lambstheatre.org/,130 W 44th St,,New York,10036
Laura Pels Theater,(212) 719-9393,http://www.nytheatre.com/nytheatre/venue.php?t=laurapels,111 W 46th Street,,New York,10001
Lion Theatre,(212) 714-2442,http://www.nytheatre.com/nytheatre/venue.php?t=lion,410 W 42nd St,,New York,10036
Longacre Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/longacre.asp,220 W 48th St,,New York,10036
Lucille Lortel Theatre,(212) 924-8782,http://www.lortel.org/llt_theater/,121 Christopher St,,New York,10014
Lunt-Fontanne Theatre,(212) 575-9200,http://www.luntfontannetheatre.com/,205 W 46th St,,New York,10036
Lyceum Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/lyceum.asp,149 W 45th St,,New York,10036
Majestic Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/majestic.asp,245 W 44th St,,New York,10036
Manhattan Ensemble Theatre,(212) 925-1900,http://www.met.com/,55 Mercer St,,New York,10013
Manhattan Theatre Source,(212) 260-4698,http://www.theatresource.org/index.htm,177 MacDougal St,Frnt,New York,10011
Marquis Theatre,(212) 382-0100,http://www.marquistheatre.com/,1535 Broadway,,New York,10036
Mazer Theatre,(212) 780-2300,http://www.newyorkcitytheatre.com/theaters/mazertheater/location.php,197 E Broadway,,New York,10002
McGinn Cazale Theater,(212) 787-3242,http://www.theatermania.com/broadway/theaters/mcginncazale-theater_186/,2162 Broadway,,New York,10024
Metropolitan Playhouse,(212) 995-8410,http://www.metropolitanplayhouse.org/,220 E 4th St,,New York,10009
Michael Schimmel Center for the Arts at Pace University,(800) 874-7223,http://www.pace.edu/page.cfm?doc_id=26266,3 Spruce Street,,New York,10038
Miller Theatre at Columbia University,(212) 854-7799,http://www.millertheatre.com/,2960 Broadway,,New York,10027
Minskoff Theatre,(212) 869-0550,http://www.minskofftheatre.com/,1515 Broadway,Lbby,New York,10036
Music Box Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/music_box.asp,239 W 45th St,,New York,10036
Nederlander Theater,(212) 921-8000,http://nederlandertheatre.com/,208 W 41st St,,New York,10036
Neil Simon Theatre,(212) 757-8646,http://www.neilsimontheatre.com/,250 W 52nd St,,New York,10019
New Amsterdam Theater,(212) 282-2900,http://www.newamsterdamtheatre.net/index.htm,214 W 42nd St,,New York,10036
New Victory Theatre,(646) 223-3010,http://www.newvictory.org/,209 West 42nd Street,,New York,10036
New World Stages,(646) 871-1730,http://www.newworldstages.com/,340 West 50th Street,,New York,10019
Next Stage Theater,(888) VISIT-NY,http://www.newyorkcitytheatre.com/theaters/nextstagetheater/location.php,312 West 11th Street,,New York,10014
Nokia Theatre Times Square,(212) 930-1959,http://nokiatheatrenyc.com/,1515 Broadway,,New York,10036
Ohio Theatre,(212) 966-4844,http://www.sohothinktank.org/index.html,66 Wooster Street,,New York,10012
Ontological Hysteric Theater,(212) 941-8911,http://www.ontological.com/,260 W Broadway,,New York,10013
Orpheum Theater,(212) 828-9738,http://www.orpheum-theater.com/,1538 3rd Ave,,New York,10028
P.S.122 Performance Space,(212) 477-5288,http://www.ps122.org/,150 1st Ave,,New York,10003
Palace Theatre,(212) 730-8200,http://www.palacetheatreonbroadway.com/,1564 Broadway,,New York,10036
Pearl Theatre,(212) 505-3401,http://www.pearltheatre.org/,80 Saint Marks Pl,,New York,10003
People's Improv Theater,(212) 563-7488,http://www.thepit-nyc.com/,154 W 29th St,,New York,10001
Playwrights Horizons Theater School,(212) 529-8720,http://www.phtschool.org/,440 Lafayette St,,New York,10003
Queens Theatre in the Park,(718) 760-0064,http://www.queenstheatre.org/web/,Flushing Meadows Corona Park,,Queens,11352
Rattlestick Theater,(212) 627-2556,http://www.rattlestick.org/,224 Waverly Pl,,New York,10014
Richard Rodgers Theatre,(212) 221-1211,http://www.richardrodgerstheatre.com/,226 W 46th Street,,New York,10036
Samuel J. Friedman Theatre (formerly the Biltmore),(888) VISIT-NY,http://www.theatermania.com/broadway/theaters/samuel-j-friedman-theatre_7420/,261 W 47th St,,New York,10036
Second Stage Theater,(212) 246-4422,http://www.2st.com/,307 W 43rd St,,New York,10036
Shubert Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/shubert.asp,225 W 44th St,Lbby,New York,10036
Snapple Theater Center,(212) 921-7862,http://www.nytheatre.com/nytheatre/venue.php?t=snapple,1627 Broadway,,New York,10019
SoHo Playhouse,(212) 691-1555,http://www.sohoplayhouse.com/,15 Vandam St,,New York,10013
SoHo Repertory Theatre,(212) 941-8632,http://www.sohorep.org/,86 Franklin St,,New York,10013
St. James Theatre,(888) VISIT-NY,http://www.stjames-theater.com/?gclid=CPWjnLTO9p0CFcZM5QodoUaupw,246 W 44th St,Lbby,New York,10036
Studio 54 Theatre,(212) 719-1300,http://www.roundabouttheatre.org/ot_54.htm,254 W 54th Street,,New York,10019
Swedish Cottage Marionette Theater,(212) 988-9093,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_swedish_cottage.html,West Side at 79th Street,,New York,10025
Tenement Theatre,(212) 431-0233,http://www.tenement.org/prog_theater.html,97 Orchard Street,,New York,10002
The Beckett Theatre,(212) 714-2442,http://www.theatrerow.org/thebeckett.htm,410 W 42 St,9 Ave,New York,10036
The Cherry Pit,(212) 633-6533,http://www.cherrylanetheatre.org/,155 Bank St,,New York,10014
The Little Shubert theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/little_shubert.asp,422 West 42nd Street,,New York,10036
The Public Theater,(212) 260-2400,http://www.publictheater.org/,425 Lafayette St,,New York,10003
The Secret Theatre,(718) 392-0722,http://www.secrettheatre.com/,44-02 23rd St.,,Long Island City,11101
The Upright Citizens Brigade Theatre,(212) 366-9176,http://www.ucbtheatre.com/,307 W 26th Street,,New York,10001
The Walter Reade Theater at Lincoln Center,(212) 875-5600,http://www.filmlinc.com/wrt/wrt.html,70 Lincoln Center Plaza,,New York,10023
The Zipper Theater,(212) 563-0480,http://www.yelp.com/biz/the-zipper-theater-new-york,336 W 37th St,,New York,10018
Theater For The New City,(212) 254-1109,http://www.theaterforthenewcity.net/,155 1st Avenue,,New York,10003
Theatre @ St. Clement's,(212) 246-7277,http://www.stclementsnyc.org/,423 West 46th Street,,New York,10036
Theatre 80 St Marks,(212) 353-3321,http://www.theatermania.com/new-york/theaters/theater-80_3446/,80 Saint Marks Pl,,New York,10003
Theatre Row,(212) 714-2442,http://www.theatrerow.org/,410 W 42nd Street,,New York,10036
Under St. Marks,(212) 777-6088,http://www.httheater.org/rentersUNDER.html,94 St. Marks Place,,New York,10009
Union Square Theater,(212) 505-0700,http://www.nytheatre.com/nytheatre/union.htm,100 E 17th St,,New York,10003
Village Theater,(212) 253-0623,http://www.villagetheatre.org/,158 Bleecker St,,New York,10012
Vineyard Theatre,(212) 353-3366,http://www.vineyardtheatre.org/,108 E 15th St,,New York,10003
Walkerspace Theater,(212) 868-4444,http://www.theateronline.com/venuebook.xzc?PK=238&View=Hist,46 Walker Street,,New York,10013
Wamu Theater (formerly Theater At Madison Square Garden),(212) 465-6741,http://www.theateratmsg.com/,4 Penn Plaza,,New York,10001
Westside Theater,(212) 315-2244,http://www.westsidetheatre.com/,407 W 43rd St,,New York,10036
Wings Theatre,(212) 627-2960,http://www.wingstheatre.com/,154 Christopher St,Bsmt,New York,10014
Winter Garden Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/winter_garden.asp,1634 Broadway,,New York,10019
York Theatre,(212) 935-5820,http://www.yorktheatre.org/,619 Lexington Ave,,New York,10022
Delacorte Theater,(212) 861-7277,http://www.centralpark.com/pages/attractions/delacorte-theatre.html,Central Park - Mid-Park at 80th Street,SW corner of the Great Lawn,New York,0
