TEL,NAME,URL,ADRESS1,ADDRESS2,CITY,ZIP
(212) 255-0719,Chelsea Art Museum,http://www.chelseaartmuseum.org/,556 West 22nd Street,,New York,10011
(212) 721-1234,Children's Museum of Manhattan,http://www.cmom.org/,212 West 83rd Street,,New York,10024
(212) 274-0986,Children's Museum of the Arts,http://cmany.org/intro.php?pn=home,182 Lafayette Street,,New York,10012
(212) 923-3700,Cloisters,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive,,New York,10040
(718) 372-5159,Coney Island Museum,http://www.coneyisland.com/,1208 Surf Ave,,Brooklyn,11224
(212) 849-8400,"Cooper-Hewitt, National Design Museum",http://www.cooperhewitt.org/,2 East 91st Street,,New York,10128
(212) 759-0606,Dahesh Museum,http://www.daheshmuseum.org,580 Madison Avenue,,New York,10022
(845) 440-0100,Dia at the Hispanic Society,http://www.diabeacon.org/,613 West 155th Street,,New York,10032
(212) 989 5566,Dia Art Foundation,http://www.diacenter.org/,535 W 22nd Street,,New York,10011
(866) 987-9692,Discovery Times Square Exposition,http://www.discoverytsx.com/nyc/,226 W 44th St,,New York,1036
(212) 219-2166,Drawing Center,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St.,,New York,10013
(212) 304-9422,Dyckman Farmhouse,http://www.dyckmanfarmhouse.org/,4881 Broadway,,New York,10034
(212) 614-8702,East Village History Project,http://leshp.org/,308 Bowery,,New York,10012
(212) 831-7272,El Museo del Barrio,http://www.elmuseo.org/,1230 Fifth Ave,,New York,10029
(212) 363-3200,Ellis Island Museum,http://www.ellisisland.org/,Ellis Island,,New York,0
(212) 425-1778,Fraunces Tavern Museum,http://www.frauncestavernmuseum.org/,54 Pearl Street,,New York,10004
(212) 288-0700,Frick Collection,http://www.frick.org/,1 E. 70th Street,,New York,10021
(718) 442-1608,Garibaldi-Meucci Museum,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue,,Staten Island,10305
(212) 439-8700,Goethe-Institut New York,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue,,New York,10028
(212)-570-4751,Gracie Mansion,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,Carl Schurz Park,New York,10128
(718) 289-5161,Hall Of Fame For Great Americans,http://www.bcc.cuny.edu/hallofFame/,Hall of Fame Terrace & Sedgwick Avenue,,Bronx,10453
(718) 630-4349,Harbor Defense Museum of Fort Hamilton,http://www.harbordefensemuseum.com/,230 Sheridan Loop,,Brooklyn,11252
(212) 926-2234,Hispanic Society of America Museum,http://www.hispanicsociety.org/,613 West 155th Street,,New York,10032
(718) 817-7700,Holocaust Museum & Studies Center,http://www.holocauststudies.org/,75 W 205th St,,Bronx,10468
(718) 624-4719,Hudson Waterfront Museum and Showboat Barge,http://www.waterfrontmuseum.org/,290 Conover St.,,Brooklyn,11231
(212) 857-0000,International Center of Photography,http://www.icp.org/,1133 Avenue Of The Americas,,New York,10036
(212) 245-0072,Intrepid Sea-Air-Space Museum,http://www.intrepidmuseum.org/,Pier 86 12th Ave. & 46th Street,,New York,10036
(718) 204-7088,Isamu Noguchi Garden Museum,http://www.noguchi.org/,32-37 Vernon Boulevard,,Long Island City,11106
(212) 965-9000,Italian American Museum,http://www.italianamericanmuseum.org/,155 Mulberry St.,,New York,10013
(212) 290-8600,Jackie Robinson Museum,http://www.jackierobinson.org/,1 Hudson Square,75 Varick Street 2nd Floor,New York,10013
(718) 987-3500,Jacques Marchais Center Museum of Tibetan Art,http://www.tibetanmuseum.org/,338 Lighthouse Avenue,,Staten Island,10306
(212) 304-2365,Jeffrey's Hook lighthouse (Little Red Lighthouse),http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html,178th Street at the Hudson River,,New York,10033
(212) 423-3200,Jewish Museum,http://www.thejewishmuseum.org/index.php,1109 Fifth Ave,,New York,10128
,John J. Harvey Fireboat,http://www.fireboat.org/,Pier 66 at West 26th Street,,New York,10001
(718) 206-0545,King Manor Museum,http://www.kingmanor.org/,152-01 Jamaica Avenue,,Queens,11432
(718) 206-0545,Kingsland Homestead,http://www.queenshistoricalsociety.org/kingsland.html,143-35 37th Avenue,,Queens,11354
(718) 482-5065,LaGuardia and Wagner Archives,http://www.laguardiawagnerarchive.lagcc.cuny.edu/defaultc.htm,31-10 Thomson Ave.,Fiorello H. LaGuardia Community College/CUNY Room E-238,Queens,11101
(212) 560-0722,Lee Young Hee Museum of Korean Culture,http://www.lyhkm.org/,2 West 32nd Street,Suite 301,New York,10001
(718) 789-2822,Lefferts Historic House,http://www.prospectpark.org/visit/places/lefferts,Prospect Park Willink Entrance,Flatbush and Ocean Avenues and Empire Boulevard,Brooklyn,11215
(800) 246-8872,Madame Tussauds Wax Museum,http://www.madametussauds.com/NewYork/,234 W. 42nd Street,,New York,10036
(212) 777-1089,Merchant's House Museum,http://www.merchantshouse.com/,29 East Fourth Street,,New York,10003
(212) 535-7710,Metropolitan Museum of Art (MET),http://www.metmuseum.org/,1000 Fifth Avenue,,New York,10028
(212) 217-6422,Mexican Cultural Institute of New York,http://www.lavitrina.com/,27 E. 39th St.,,New York,10016
(212) 685-0008,Morgan Library and Museum,http://www.themorgan.org/home.asp,225 Madison Avenue,,New York,10016
(212) 923-8008,Morris-Jumel Mansion,http://www.morrisjumel.org/,65 Jumel Terrace,,New York,10032
(212) 838-6878,Mount Vernon Hotel Museum & Garden,http://www.mvhm.org/,421 East 61 Street,,New York,10021
(212) 935-3960,Municipal Art Society,http://mas.org/,457 Madison Avenue,,New York,10022
(718) 784-7700,Museum for African Art,http://www.africanart.org/,36-01 43rd Avenue,3rd Floor,Queens,11101
(212) 908-4110,Museum of American Finance,http://www.moaf.org/index,48 Wall Street,,New York,10005
(212) 838-2560,Museum of American Illustration,http://societyillustrators.org/museum/index.cms,128 E. 63d St.,,New York,10021
(212) 299-7777,Museum of Arts & Design (MAD),http://www.madmuseum.org/,2 Columbus Circle,,New York,10019
(212) 408-1200,Museum of Biblical Art,http://www.mobia.org/,1865 Broadway,,New York,10023
(212) 619-4785,Museum Of Chinese In America,http://www.mocanyc.org/,215 Centre Street,,New York,10013
(212) 254 3511,Museum of Comic and Cartoon Art (MoCCA),http://www.moccany.org/,594 Broadway,Suite 401,New York,10012
(718) 230-0492,Museum of Contemporary African Diasporan Arts (MoCADA),http://www.mocada.org/,80 Hanson Place,,Brooklyn,11217
(646) 437-4200,Museum of Jewish Heritage,http://www.mjhnyc.org/index.htm,36 Battery Place,,New York,10280
(212) 708-9400,Museum of Modern Art (MoMA),http://www.moma.org/,11 West 53rd Street,,New York,10019
(212) 534-1672,Museum of the City of New York,http://www.mcny.org,1220 Fifth Avenue,,New York,10029
(718) 784-4520,Museum of the Moving Image,http://www.movingimage.us/site/site.php,35 Avenue at 36 Street,,Queens,11106
(212) 369-4880,National Academy Museum,https://nationalacademy.org/index.asp,1083 5th Avenue,,New York,10128
(718) 556-1681,National Lighthouse Museum,http://statenislandusa.com/pages/lighthouse.html,1 Lighthouse Plaza,,Staten Island,10301
(212) 514-3700,National Museum of the American Indian,http://www.nmai.si.edu/,1 Bowling Green,,New York,10004
(212) 227-7722,National September 11 Memorial & Museum at the World Trade Center,http://www.911memorial.org/,1 Liberty Plaza,20th Floor,New York,10006
(212) 628-6200,Neue Galerie New York,http://www.neuegalerie.org/,1048 Fifth Avenue,,New York,10028
(212) 219-1222,New Museum of Contemporary Art,http://www.newmuseum.org/,235 Bowery,,New York,10002
(212) 691-1303,New York City Fire Museum,http://www.nycfiremuseum.org/,278 Spring Street,,New York,10012
(212) 480-3100,New York City Police Museum,http://www.nycpolicemuseum.org/,100 Old Slip,,New York,10038
(718) 699-0005,New York Hall of Science,http://www.nysci.org/,47-01 111th Street,,Queens,11368
(212) 873-3400,New York Historical Society,https://www.nyhistory.org/web/,2 West 77th Street,,New York,10024
(212) 697-1180,New York Tolerance Center,http://www.kintera.org/site/pp.asp?c=fwLYKnN8LzH&b=242506,50 E 42nd St,,New York,10017
(718) 694-4915,New York Transit Museum,http://www.mta.info/mta/museum/,Boerum Pl. & Schermenhorn Street,,Brooklyn,0
(212) 864-7752,Nicholas Roerich Museum,http://www.roerich.org/,319 West 107 Street,,New York,10025
(718) 447-6490,Noble Maritime Collection,http://www.noblemaritime.org/,1000 Richmond Terrace,,Staten Island,10301
(718) 768-3195,Old Stone House,http://www.theoldstonehouse.org/,326 5th Avenue,,Brooklyn,11215
(718) 784-2084,P.S. 1 Contemporary Art Center,http://www.ps1.org/,22-25 Jackson Ave.,,Queens,11101
(212) 621-6800,Paley Center For Media (formerly Museum Of Television & Radio),http://www.paleycenter.org/,25 West 52 Street,,New York,10019
(516) 624-1910,Queens Art Museum - Bulova Corporate Center,http://www.bdg.net/properties/1/,75-20 Astoria Blvd.,,Jackson Heights,11386
(718) 347-3276,Queens County Farm Museum,http://www.queensfarm.org/,73-50 Little Neck Parkway,,Queens,11004
(718) 592-9700,Queens Museum of Art,http://www.queensmuseum.org/,Queens Museum of Art,Flushing Meadows Corona Park,Queens,11368
(212) 769-5100,Rose Center for Earth and Space (Hayden Planetarium),http://www.haydenplanetarium.org/index.php,15 West 81st Street,,New York,10024
(212) 903-9629,Rose Museum at Carnegie Hall,http://www.carnegiehall.org/textSite/the_basics/art_museum_archives.html,154 West 57th Street,,New York,0
(212) 620-5000,Rubin Museum of Art,http://www.rmanyc.org/,150 West 17th Street,,New York,10011
(718) 317-5796,Sandy Ground Historical Society,http://statenislandusa.com/pages/sandy_ground.html,1538 Woodrow Road,,Staten Island,0
(212) 879-9779,Scandinavia House: The Nordic Center in America,http://www.scandinaviahouse.org/,58 Park Ave.,,New York,10016
(212) 491-2200,Schomburg Center for Research in Black Culture,http://www.nypl.org/research/sc/sc.html,515 Malcolm X Boulevard,,New York,10037
(212) 592-2145,School of Visual Arts Museum,http://www.schoolofvisualarts.edu/sa/index.jsp?sid0=201&page_id=482&event_id=865,209 E. 23rd St.,,New York,10010
(718) 667-6042,Seguine Mansion,http://www.historichousetrust.org/item.php?i_id=38,440 Seguine Avenue,,Staten Island,10307
(212) 968-1961,Skyscraper Museum,http://www.skyscraper.org/home.htm,39 Battery Place,,New York,10280
(212) 423-3500,Solomon R. Guggenheim Museum,http://www.guggenheim.org/,1071 Fifth Avenue,,New York,10128
(212) 833-8100,Sony Wonder Technology Lab,http://wondertechlab.sony.com/,550 Madison Ave,Sony Plaza,New York,10022
(212) 748-8600,South Street Seaport Museum,http://www.southstreetseaportmuseum.org/,12 Fulton Street,,New York,10038
(718) 273-2060,Staten Island Children's Museum,http://www.statenislandkids.org/,1000 Richmond Terr.,,Staten Island,10301
(718) 727-1135,Staten Island Museum / Staten Island Institute of Arts & Sciences,http://www.statenislandmuseum.org/,75 Stuyvesant Pl.,,Staten Island,10301
(212) 864-4500,Studio Museum in Harlem,http://www.studiomuseum.org,144 West 125th Street,,New York,10027
(212) 431-0233,Tenement Museum,http://www.tenement.org/,108 Orchard Street,,New York,10002
(212) 375-0475,"The Freakatorium, El Museo Loco",http://www.freakatorium.com/,57 Clinton St.,,New York,10002
(212) 348-8300,The Jazz Museum in Harlem,http://www.jazzmuseuminharlem.org/,104 E. 126th Street,Suite 2D,New York,10035
(718) 467-0600,The Jewish Children's Museum,http://www.jcmonline.org/,792 Eastern Pkwy,,Brooklyn,11213
(212) 217-5800,The Museum at FIT,http://www.fitnyc.edu/306.asp,7th Avenue at West 27th Street,,New York,10001
(212) 260-1616,Theodore Roosevelt Birthplace,http://www.nps.gov/thrb/index.htm,28 East 20th Street,,New York,10003
(212) 228-0110,Ukrainian Museum,http://www.ukrainianmuseum.org/,222 East 6th Street,,New York,10003
(718) 881-8900,Valentine-Varian House,http://www.museumregister.com/US/NewYork/Bronx/ValentineVarianHouse/Info.html,3266 Bainbridge Ave.,,Bronx,10467
(718) 543-3344,Van Cortlandt House Museum,http://www.vancortlandthouse.org/,VAN CRTLANDT MANSION,Broadway at West 246th Street,Bronx,10471
(718) 549-3200,Wave Hill,http://wavehill.org/visit/,West 249th Street & Independence Avenue,,Bronx,10471
1 (800) WHITNEY,Whitney Museum of American Art,http://www.whitney.org/,945 Madison Ave.,,New York,10021
(718) 629-5400,Wyckoff Farmhouse Museum,http://www.wyckoffassociation.org/,5816 Clarendon Ave,,Brooklyn,11203
(212) 744-6400,Leo Baeck Institute,http://www.lbi.org/,15 W. 16th St.,,New York,10011
(212) 294-8350,American Sephardi Federation / Sephardic House,http://www.americansephardifederation.org/,15 W. 16th St.,,New York,10011
(212) 246-6860,YIVO Institute for Jewish Research,http://www.yivoinstitute.org/,15 W. 16th St.,,New York,10011
(212) 294-6160,American Jewish Historical Society,http://www.ajhs.org/,15 W. 16th St.,,New York,10011
(212) 294-8330,Yeshiva University Museum,http://www.yumuseum.org/,15 W. 16th St.,,New York,10011
(212) 294-8301,Center For Jewish History,http://www.cjh.org,15 W. 16th St.,,New York,10011
