TEL,NAME,URL,ADDRESS1,ADDRESS2,CITY,ZIP
(212) 219-8287,Phoneup,http://www.nyc.com/arts__attractions/phoneup.642/map_location.aspx,55 Chrystie St,,New York,10002
(718) 471-7840,Photo & Art Gallery,http://www.yelp.com/biz/photo-and-art-gallery-far-rockaway,1023 Beach 20th St,,Far Rockaway,11691
(212) 229-1816,Photo Collection Gagliardi,http://www.gagliardiphoto.com/contact.htm,27 W 20th St,,New York,10011
(212) 807-8787,Photo District Gallery,http://wap.outalot.com/listings/319183-Photo-District-Gallery,37 W 20th St,Lbby,New York,10011
(212) 755-1516,Phyllis Lucas Gallery Inc,http://www.phyllislucasgallery.com/,981 2nd Ave,,New York,10022
(718) 625-2722,Picture This Corporate Art,http://www.ptcanyc.com/,249 Smith Street,# 102,Brooklyn,11231
(718) 599-2144,Pierogi 2000,http://www.pierogi2000.com/,177 N 9th St,,Brooklyn,11211
(212) 226-8571,Soho Photo Gallery,http://www.sohophoto.com/,15 White St,,New York,10013
(212) 995-2899,Place Des Vosges,http://local.yahoo.com/info-11035506-place-des-vosges-manhattan,816 Broadway,,New York,10003
(917) 606-1268,Plane Space,http://www.artinfo.com/galleryguide/20261/6796/115454/plane-space-new-york/exhibition/gangbusters/,102 Charles St,,New York,10014
(718) 621-3175,Plaster Palace,http://www.merchantcircle.com/business/Plaster.Palace.718-621-3175,5305 18th Ave,,Brooklyn,11204
(212) 247-4744,Plaza Holding Inc,http://m.nyc.com/arts__attractions/plaza_holding_inc.300/map_location.aspx,15 W 55th St,,New York,10019
(212) 956-1900,Plaza Holding Inc,http://www.nyc.com/arts__attractions/plaza_holding_inc.300/whats_nearby.aspx,15 W 55th St,,New York,10019
(212) 246-2000,Plaza Watch & Jewelry Exchange,http://local.botw.org/New_York/New_York/Plaza_Watch_and_Jewelry_Exchange/55631196.html,145 W 57th St,,New York,10019
(646) 230-0056,Pleiades Gallery,http://www.pleiadesgallery.com/index.html,530 W 25th St,,New York,10001
(212) 719-7008,Plum Blossom Gallery,http://www.plumblossoms.com/,555 W 25th St,,New York,10001
(718) 680-6777,Polizzi Fine Art,http://www.polizzifineart.com/,7813 3rd Ave,,Brooklyn,11209
(212) 274-1704,Poller Leah,http://www.sculpture.org/portfolio/sculptorPage.php?sculptor_id=1003310,98 Greene St,,New York,10012
(718) 224-7093,Portara Gallery,http://newyork.citysearch.com/profile/map/12036088/bayside_ny/portara_gallery.html,4720A Bell Blvd,,Bayside,11361
(212) 941-8248,Portico Fine Art,http://www.porticony.com/,139 Spring St,,New York,10012
(718) 377-8762,Portrait Gallery,http://brooklyn.ny.povo.com/Portrait_Gallery_%28Kings_Highway%29,5100 Kings Plz,,Brooklyn,11234
(212) 727-3323,Postmasters Gallery,http://www.postmastersart.com/,459 W 19th St,,New York,10011
(212) 772-9478,Praxis International Art,http://galleries.absolutearts.com/galleries/praxis-art/index.html,25 E 73rd St,Fl 4,New York,10021
(212) 267-6790,Prieto International Attorney In Fact Johnpoll,http://m.nyc.com/arts__attractions/prieto_international_attorney_in_fact_johnpoll.793/whats_nearby.aspx?sec=pha,127 Fulton St,,New York,10038
(646) 230-0246,Prince Street Gallery,http://www.princestreetgallery.com/contact.html,530 W 25th St,,New York,10001
(646) 336-6613,Professional Fine Arts Svces Inc,http://www.nyc.com/arts__attractions/professional_fine_arts_svces_inc.724/editorial_review.aspx,141 W 20th St,,New York,10011
(212) 242-0035,Proposition the,http://www.theproposition.com/,162 11th Ave,,New York,10011
(212) 980-4575,Public Art Fund,http://www.publicartfund.org/,1 E. 53d St.,,New York,10022
(212) 534-7534,Puerto Rican Work Shop Inc,http://www.nyc.com/arts__attractions/puerto_rican_work_shop_inc.1733/whats_nearby.aspx,121 E 106th St,,New York,10029
(212) 582-0130,Pushman Gallery Inc,http://local.botw.org/New_York/New_York/Pushman_Gallery_Inc/10887507.html,154 W 57th St,,New York,10019
(718) 599-1265,Pytlak Art Studio,http://www.anitapytlak.net/uk/index.html,573 Metropolitan Ave,,Brooklyn,11211
(212) 274-0237,Queen Art Publishers Inc,http://www.lights.ca/publisher/db/9/3739.html,481 Washington St,,New York,10013
(212) 744-3586,Questroyal Fine Art,http://www.questroyalfineart.com/,903 Park Ave,Apt 3A,New York,10021
(212) 486-0661,Rabenou Yris Ancient Arts,http://www.antiquecollectiblestore.com/detail/48742/rabenou-yris-ancient-arts.html,249 E 61st St,,New York,10021
(212) 620-7630,Radio House Gallery,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6139-3048-28EB-92ED919F6F1756B9,601 W 26th St,,New York,10001
(212) 744-8666,Rafael Gallery,http://www.getfave.com/locations/888896-rafael-gallery,241 E 59th St,,New York,10022
(212) 585-2587,Rainbow Fine Art Inc,http://local.botw.org/New_York/New_York/Rainbow_Fine_Art_Inc/11030300.html,15 E 82nd St,,New York,10028
(212) 397-2818,Ralph Chait Galleries Inc,http://www.rmchait.com/,724 5th Ave,,New York,10019
(212) 861-6650,Randel Gallery Inc,http://www.antiquesandfineart.com/dealers/about.cfm?id=427&ap=1,49 East 78th Street,1B,New York,10021
(212) 595-6302,Randolph & Tate Assocs,http://directory.northjersey.com/randolph+tate+assocs.9.7658139p.home.html,234 5th Ave,,New York,10001
(718) 624-6048,Raphael Fodde Editions,http://www.yelp.com/biz/raphael-fodde-editions-brooklyn,70 WASHINGTON ST,,Brooklyn,11201
(212) 268-1520,Rare art Gallery,http://www.rare-gallery.com/,521 W 26th St Bsmt,,New York,10001
(212) 288-3555,Raydon Gallery,http://www.rateitall.com/i-410005-raydon-gallery.aspx,1091 Madison Ave,,New York,10001
(212) 675-0448,Red Dot,http://www.rateitall.com/i-410007-red-dot.aspx,140 W 22nd St,,New York,10011
(212) 333-5830,Reece Galleries Inc The,http://www.reecegalleries.com/,24 W 57th St,,New York,10019
(212) 714-0044,Reeves Contemporary Inc,http://www.cynthia-reeves.com/,535 W 24th St,,New York,10011
(718) 837-5807,Regina's Art Center,http://www.reginasartcenter.com/contact.html,1921 Benson Ave,,Brooklyn,11214
(212) 355-5710,Rehs Galleries Inc,http://www.rehs.com/,5 E 57th St,Fl 8,New York,10022
(212) 367-8994,Soho 20,http://www.soho20gallery.com/New/exhibitions.html,511 W 25th St,,New York,10001
(212) 734-7999,Reinhold Brown Gallery,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6945-3048-28EB-92C3310EAAC2B0DD,1100 Madison Ave,Ph,New York,10028
(212) 234-0974,Renaissance Gallery,http://www.livevillage.com/newyork/art/renaissance-gallery.html,300 W 147th St,,New York,10039
(212) 223-1009,Resnick Ira Inc,http://www.nyc.com/search/find.aspx?secid=2&name=Resnick%20Ira%20Inc,133 E 58th St,Ste 1001,New York,10022
(212) 627-4819,Ricco Maresca Gallery,http://www.riccomaresca.com,529 W 20th St,,New York,10011
(212) 472-8787,Richard Gray Gallery,http://www.richardgraygallery.com/default.asp,1018 Madison Ave,,New York,10021
(212) 223-9545,Richard Solomon,http://www.richardsolomon.com/,305 E 50th St,,New York,10022
(212) 772-9155,Richard York Gallery,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6E92-3048-28EB-924791189BBB08A3,21 E. 65th St.,2nd. Fl.,New York,10065
(212) 288-2226,Rienzo Gallery,http://www.artnet.com/Galleries/About.asp?G=&gid=166017&which=&rta=http://www.artnet.com,20 E 69th St,,New York,10021
(212) 673-2213,Ritter-Antik Inc,http://www.ritterantik.com/index.php,35 E 10th St,,New York,10003
(212) 253-7703,Rivington Bar & Art Gallery,http://www.nyc.com/arts__attractions/rivington_bar__art_gallery.1676/whats_nearby.aspx,174 Rivington St,,New York,10002
(212) 431-9405,Robert Lee Morris Inc,http://www.robertleemorris.com/contactus.php,400 W Broadway,,New York,10012
(212) 989-7600,Robert Mann Gallery,http://www.robertmann.com/,210 11th Ave,,New York,10001
(212) 366-4774,Robert Miller Gallery Inc,http://www.robertmillergallery.com/index2.html,526 W 26th St,,New York,10001
(212) 243-0165,Robert Steele Gallery,http://www.robertsteelegallery.com/,511 W 25th St,,New York,10001
(212) 206-0912,Robertson African Arts,http://wap.outalot.com/listings/314463-Robertson-African-Arts,36 W 22nd St,Apt 4,New York,10010
(212) 732-6887,Rogallerycom,http://www.auction-directory.info/auction/rogallerycom-300-east-74th-street-new-york-ny-212-732-6887/1283,300 East 74th Street,,New York,10021
(212) 226-3232,Ronald Feldman Fine Arts,http://www.feldmangallery.com/pages/home_frame.html,31 Mercer St,,New York,10013
(212) 308-6630,Roosevelt Island Visual Arts Assoc,http://rivaa.com/,527 Main St,,New York,10044
(212) 627-6000,Rosen Andrea Gallery Inc,http://www.andrearosengallery.com/,525 W 24th St,,New York,10011
(212) 431-4838,Rosenberg & Kaufman Fine Art,http://www.robertkuszek.com/,115 Wooster St,,New York,10012
(212) 472-1134,Rosenberg Paul & Co,http://local.botw.org/New_York/New_York/Rosenberg_Paul_and_Co/11505286.html,20 E 79th St,,New York,10021
(212) 343-2161,Ross Luise Gallery,http://www.luiserossgallery.com/,511 West 25 Street,,New York,10001
(212) 717-9067,Roth,http://www.andrewroth.com/,160A E 70th St,,New York,10021
(718) 875-4047,Rotunda Gallery,http://www.nyc-arts.org/organizations/1668/rotunda-gallery,33 Clinton St,,Brooklyn,11201
(212) 452-4297,Royal Fine Art,http://m.nyc.com/arts__attractions/royal_fine_art.361/map_location.aspx,1158 Lexington Ave,,New York,10021
(212) 355-2033,Royal-Athena Galleries,http://www.royalathena.com/,153 E 57th St,Ph,New York,10022
(718) 238-6026,Rudolph De Paola Art Gallery,http://www.merchantcircle.com/business/Rudolph.de.Paola.Art.Gallery.718-238-6026,6 Parrott Pl,,Brooklyn,11228
(212) 925-1137,Ruesch Jeffrey Fine Arts,http://www.rateitall.com/i-410032-ruesch-jeffrey-fine-arts.aspx,134 Spring St,Fl 2,New York,10012
(212) 475-9939,Russeck Gallery,http://local.botw.org/New_York/New_York/Russeck_Gallery/11582297.html,478 W Broadway,,New York,10012
(212) 399-6500,Russian World,http://www.nyc.com/arts__attractions/russian_world.1710/map_location.aspx,18 W 55th St,,New York,10019
(212) 794-5251,S & A Art Gallery Inc,http://www.masterseek.com/id/48817904/S-and-A-Art-Gallery.htm,1248 Lexington Ave,,New York,10028
(212) 206-7345,S 2 Editions Ltd,http://www.nyc.com/arts__attractions/s_2_editions_ltd.958/editorial_review.aspx,155 Ave of the Americas,,New York,10013
(212) 980-1914,S E Art & Design Inc,http://www.seartanddesign.com/contactus.html,232 E 59th St,,New York,10022
(212) 628-6281,Sabarsky Serge Gallery,http://local.botw.org/New_York/New_York/Sabarsky_Serge_Gallery/11637783.html,58 E 79th St,,New York,10021
(212) 213-9344,Sabbatique Ltd,http://www.sabbatiqueltd.com/contact.htm,10 Waterside Plz,,New York,10010
(718) 335-5088,Sabrina Enterprise.Com Artworks Sales and Rprdctns,http://www.nyc.com/arts__attractions/sabrina_enterprisecom_artworks_sales_and_rprdctns.1874/editorial_review.aspx,10022 32nd Ave,,East Elmhurst,11369
(212) 333-7755,Sacks Fine Art,http://sacksfineart.com/,229 East 60th Street,,New York,10022
(212) 570-6360,Safani Gallery Inc,http://local.botw.org/New_York/New_York/Safani_Gallery_Inc/56446980.html,980 Madison Ave,,New York,10021
(212) 744-6080,Salz Trager Janet,http://metroproper.com/business/profile/view/&id=59220,700 Park Ave,,New York,10021
(212) 535-7210,Sam's Souk,http://www.manta.com/coms2/dnbcompany_8m39fn,979 Lexington Ave,,New York,10021
(212) 734-3055,Sanada Ikkanart Intl,http://local.botw.org/New_York/New_York/Sanada_Ikkanart_Intl/154034137.html,30 E 85th St,,New York,10028
(212) 988-3900,Sands & Company Inc Fine Art At Madison Av,http://www.nyc.com/arts__attractions/sands__company_inc_fine_art_at_madison_av.848/editorial_review.aspx,30 E 76th St,,New York,10021
(212) 343-8256,Sara Meltzer On View,http://www.sarameltzergallery.com/artist.php?artist=tallichet&p=cv,588 Broadway,#612,New York,10012
(718) 522-1083,Sarafina Inc,http://m.nyc.com/arts__attractions/sarafina_inc.739/whats_nearby.aspx?sec=att,411 Myrtle Ave,,Brooklyn,11205
(212) 966-6156,Sarajo Inc,http://www.yelp.com/biz/sarajo-inc-new-york,130 Greene St,,New York,10012
(212) 242-9001,Sarina Tang Fine Art,http://web2.userinstinct.com/30817016-sarina-tang-fine-art.htm,535 W 23rd St,,New York,10011
(212) 473-6904,Savacou Galleries,http://www.artchain.com/cgi-bin/showorganization.cgi?org=150,240 E 13th St,,New York,10003
(212) 288-1493,Sayn-Wittgenstein,http://www.sw-fineart.com/,155 E 72nd St,,New York,10021
(212) 219-1821,Schellmann Editions,http://www.editionschellmann.com/,210 11th Ave,,New York,10001
(212) 431-6363,Schickler Howard Fine Art,http://www.schicklerart.com/,100 Water St,,Brooklyn,11201
(212) 861-8353,Schillay Fine Art,http://www.schillay.com/contact.html,520 E 72nd St,,New York,10021
(212) 772-8627,Schiller & Bodo Fine Art,http://www.schillerandbodo.com/,120 E 65th St,,New York,10021
(212) 734-3600,Schlesinger Gallery,http://newyork.maplist.org/viewthread.php?tid=442872,24 E 73rd St,,New York,10021
(212) 585-0474,Scholten Japanese Art,http://www.artinfo.com/galleryguide/19648/6194/scholten-japanese-art-new-york/inventory/,63 E 66th St,,New York,10021
(212) 755-7005,Schonfeld R D & Co Inc,http://www.nyc.com/arts__attractions/schonfeld_r_d__co_inc.288/whats_nearby.aspx,349 E 49th St,Apt 6B,New York,10017
(718) 361-1750,Sculpture Center,http://www.sculpture-center.org/,44-19 Purves St,,Long Island City,11101
(212) 239-1181,Sean Kelly Inc,http://www.skny.com/,526 W 29th St,,New York,10001
(212) 966-7469,Sears-Peyton Gallery,http://www.searspeyton.com/html/home.asp,210 11th Ave,,New York,10001
(718) 469-1912,Seaside Summer Concert Series Inc,http://www.nyc.com/arts__attractions/seaside_summer_concert_series_inc.1588/editorial_review.aspx,572 Flatbush Ave,,Brooklyn,11225
(212) 223-9095,Second Ave Art Expo,http://www.merchantcircle.com/business/Second.Ave.Art.Expo.212-223-9095,980 2nd Ave,,New York,10022
(212) 988-4731,Seibold Eleanor,http://www.nyc.com/arts__attractions/seibold_eleanor.1833/map_location.aspx,1601 York Ave,,New York,10028
(212) 213-6767,Senior & Shopmaker,http://www.seniorandshopmaker.com/,21 E 26th St,,New York,10010
(212) 645-9444,Sepia International Inc the,http://www.sepia.org/,148 W 24th St,Fl 11,New York,10011
(212) 249-5252,Serbin Inna,http://www.nyc.com/arts__attractions/serbin_inna.1675/whats_nearby.aspx,342 E 77th St,,New York,10021
(212) 535-4865,Serger Helen La Boetie,http://boundlessgallery.com/directory/gallery/618/Helen-Serger-LA-Boetie,9 E 82ND ST,STE 3A,New York,10028
(212) 681-9091,Seven Colors,http://www.livevillage.com/newyork/art/seven-colors.html,555 5th Ave,,New York,10017
(718) 834-0084,Shades of Art,http://www.merchantcircle.com/business/Shades.of.Art.718-834-0084,47 Flatbush Ave,,Brooklyn,11217
(212) 645-1701,Shainman Jack Gallery,http://www.jackshainman.com/,513 W 20th St,,New York,10011
(212) 452-1094,Shapolsky Anita Gallery,http://www.anitashapolskygallery.com/,152 E 65th St,,New York,10021
(212) 255-7986,Shawn Dulaney Studio,http://www.shawndulaney.com/,34 W 22nd St,,New York,10010
(212) 861-4050,Shepherd & Derom Galleries,http://www.shepherdgallery.com/feature.html,58 E 79th St,,New York,10021
(212) 249-3800,Shickman H Gallery,http://whrrl.com/place/1220422/shickman-h-gallery-new-york,220 E 72nd St,,New York,10021
(718) 646-6022,Shulman B & M Inc,http://brooklyn.citysearch.com/profile/601893311/brooklyn_ny/b_m_shulman_inc.html,2623 Avenue U,,Brooklyn,11229
(212) 517-9700,Sigrid Freundorfer Fine Art,http://oneartworld.com/Sigrid+Freundorfer+Fine+Art.html,790 Madison Ave,,New York,10021
(212) 929-4300,Silverstein Gallery Inc,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CC5FF-3048-28EB-9213D9BD1A052B8E,520 West 21st St,,New York,10011
(718) 291-9862,Simply Marvelous Art,http://www.simplymarvelousart.com/,159-15 Jamaica Ave,,Jamaica,11432
(212) 352-8058,Skoto Gallery,http://www.skotogallery.com/homepage,529 W 20th St,,New York,10011
(718) 469-1930,Sloan McGill Collection,http://www.nyc.com/arts__attractions/sloan_mcgill_collection.1894/editorial_review.aspx,150 Midwood St,,Brooklyn,11225
(718) 422-0989,Smack Mellon Studios,http://www.smackmellon.org/,92 Plymouth St,,Brooklyn,11201
(212) 744-6171,Smith Gallery,http://www.nyc.com/arts__attractions/smith_gallery.185/editorial_review.aspx,447 W 24th St,,New York,10011
(212) 288-8186,Society For Renewal of Christian Art,http://www.nyc.com/arts__attractions/society_for_renewal_of_christian_art.340/editorial_review.aspx,217 E 66th St,,New York,10021
(212) 759-1175,Soldwedel Kipp,http://www.ziphip.com/soldwedel+kipp.9.7196845p.home.html,470 Park Ave,,New York,10022
(212) 737-8200,Soloman & Co Fine Art Gallerie,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489DA839-3048-28EB-923E97BA2BE7589F,959 Madison Ave,,New York,10021
(212) 627-1018,Sonnabend Gallery Inc,http://www.artnet.com/sonnabend.html,532 W 22nd St,,New York,10011
(212) 628-3225,Soufer Gallery,http://www.soufergallery.com/,1015 Madison Ave,,New York,10075
(212) 334-3455,Spencer Brownstone Gallery,http://www.spencerbrownstonegallery.com/000mailing.html,39 Wooster St.,,New York,10013
(212) 253-0648,Sperone Westwater,http://www.speronewestwater.com/cgi-bin/iowa/index.html,121 Greene St,,New York,10012
(718) 222-1054,Spring,http://www.spring3d.net/,126 Front St,,Brooklyn,11201
(212) 219-1793,Sragow Ellen Ltd,http://www.sragowgallery.com/,153 West 27th Street,Room #505,New York,10001
(212) 245-6734,St Etienne Galerie,http://www.gseart.com/,24 W 57th St,,New York,10019
(212) 966-6223,Staley-Wise Gallery,http://www.staleywise.com,560 Broadway,,New York,10012
(212) 431-2414,Start,http://www.livevillage.com/newyork/art/start.html,50 Greene St,,New York,10013
(718) 349-7250,State of Art,http://www.merchantcircle.com/blogs/State.of.Art.718-349-7250,113 Franklin St,,Brooklyn,11222
(212) 517-3643,Steigrad Lawrence Fine Arts,http://www.steigrad.com/,23 E 69th St,# 4F,New York,10021
(212) 535-0600,Stein Gertrude Gallery,http://www.gallerygertrudestein.com/contact.htm,200 West 57th Street,,New York,10019
(212) 274-9194,Stephen Downes Gallery,http://www.nyc.com/arts__attractions/stephen_downes_gallery.263/editorial_review.aspx,377 Broome St,,New York,10013
(212) 675-4949,Stewart Waltzer Co,http://www.manta.com/coms2/dnbcompany_jr0lm4,200 W Houston St,Apt 3D,New York,10014
(212) 431-5795,Storefront For Art and Architecture,http://www.storefrontnews.org/,97 Kenmare St,,New York,10012
(212) 219-3977,"Stricoff Fine Art, Ltd.",http://www.stricoff.com/,564 W 25th St,,New York,10001
(212) 579-4654,Studio Gallery,http://www.merchantcircle.com/business/Studio.Gallery.212-579-4654,205 W 88th St,,New York,10024
(212) 529-4247,Studio Tamar,http://www.upspring.com/studio-tamar-new-york-ny.html,152 E 22nd St,,New York,10010
(212) 352-1600,Stux Gallery,http://www.stuxgallery.com,530 W 25th St,,New York,10001
(212) 491-5890,Sugarhill Arts Center,http://www.theartproject.net/pages/126yp_awaken.htm,3658 Broadway,,New York,10031
(212) 274-9166,Suite 106,http://www.art-search.us/listing/22923/suite-106-gallery,112 Mercer St,,New York,10012
(212) 625-1910,Sun Yi Jun,http://www.nyc.com/arts__attractions/sun_yi_jun.821/editorial_review.aspx,83 Bowery,,New York,10002
(212) 207-4600,Susan Aberbach Fine Art,http://www.saberbach.com/site.html,41 E 57th St,,New York,10022
(212) 254-8090,Susan Megson Gallery,http://web2.userinstinct.com/31111920-susan-megson-gallery.htm,456 W Broadway,,New York,10012
(212) 688-7184,Susan Rolfe Associates Fine Arts Ltd,http://www.merchantcircle.com/business/Susan.Rolfe.Associates.Fine.Arts.Limited.212-688-7184,654 Madison Ave,,New York,10021
(212) 489-3331,Susan Sheehan Gallery,http://www.susansheehangallery.com/,535 West 22nd Street,3rd Floor,New York,10011
(212) 249-0428,Sutherland M,http://www.artnet.com/gallery/155971/m-sutherland-fine-arts-ltd.html,620 Park Ave,,New York,10021
(212) 925-2035,Swiss Institute,http://www.swissinstitute.net/,495 Broadway,3rd Fl,New York,10012
(212) 367-0881,Taglialatella Dominic J,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CDBF0-3048-28EB-923E29A3CAFD93E0,511 West 25th Street,2nd Floor,New York,10001
(212) 231-1778,Takako Tsuji Gallery,http://trustedplaces.com/review/us/ny/new-york/cultural/1415l81/takako-tsuji-gallery,41 E 57th St,,New York,10022
(212) 673-3096,Talwar Gallery,http://www.talwargallery.com/,108 E 16th St,Fl 3,New York,10003
(212) 570-0655,Tambaran Gallery,http://www.tambaran.com/,5 E 82nd St,,New York,10028
(212) 517-7401,Tang Sarina,http://www.merchantcircle.com/business/Tang.Sarina.212-517-7401,3 E 76th St,,New York,10021
(646) 638-9471,Tanya Bonakdar Galery,http://www.livevillage.com/newyork/art/tanya-bonakdar-galery.html,521 W 21st St,,New York,10011
(212) 242-9888,Tate,http://www.yelp.com/biz/tate-new-york,413 W 14th St,Ste 3,New York,10014
(212) 664-0907,Tatistcheff Gallery Inc,http://www.artinfo.com/galleryguide/13109/1619/tatistcheff-gallery-new-york/visit/,529 West 20th Street,6th Floor,New York,10011
(212) 279-9219,Team Gallery,http://www.teamgal.com/,527 W. 26th St.,,New York,10001
(212) 941-7335,Teller Susan Gallery,http://www.susantellergallery.com/,568 Broadway,,New York,10012
(212) 645-2800,Tenri Cultural Institute,http://www.tenri.org/,43A W. 13th St.,1st Fl.,New York,10011
(212) 535-6333,Thaw E V & Co,http://www.artinfo.com/galleryguide/12003/489/ev-thaw--co-inc/visit/,726 Park Ave,# 730,New York,10021
(212) 255-2003,The Affordable Art Fair Llc,http://www.nyc.com/arts__attractions/the_affordable_art_fair_llc.1679/editorial_review.aspx,216 W 18th St,Ph,New York,10011
(212) 554-4818,The Axa Gallery,http://axagallery.com/index.html,787 7th Ave,,New York,10019
(212) 414-4575,The Bohen Foundation,http://ny.citysquares.com/manhattan/meatpacking-district/arts-entertainment/artists-art-dealers/the-bohen-foundation,415 W 13th St,,New York,10014
(212) 759-1153,The Chinese Art Gallery,http://www.411.info/business/New-York/New-York/The-Chinese-Art-Gallery-Ltd/8957246-13714534.html,1050 2nd Ave,,New York,10022
(718) 486-0330,The Dollhaus Art Gallery,http://www.dollhaus.org/press/NYPress.htm,37 Broadway,,Brooklyn,11211
(718) 861-3571,The Gallery 172,http://www.elfwood.com,1620 E 172nd St,,Bronx,10472
(212) 683-3950,The Old Print Shop Inc,http://www.oldprintshop.com/cgi-bin/gallery.pl?action=exhibits&exhibit_id=53,150 Lexington Ave,,New York,10016
(212) 777-7922,The Phatory Llc,http://www.thephatory.com/,618 E 9th St,,New York,10009
(212) 219-3304,The Q Department,http://www.qdepartment.com/commercial.php,28 Howard St,,New York,10013
(212) 674-0508,The Scene Gallery,http://newyork.citysearch.com/profile/11583862/new_york_ny/the_scene_gallery.html,42 Rivington St,,New York,10002
(212) 343-2849,Thicket,http://outside.in/tribeca-manhattan-ny/thicket,10 Leonard St,,New York,10013
